text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,username,num_followers,search_keywords,search_neighbourhood,sentiment,score
"@Slicc_Flair412 Lol yea if you’re down that way 376 west is def closer .. North is still better quality tho lol, camp horne, Allison park, cranberry etc &gt;&gt;&gt;",2022-08-22 19:17:10.032726,1561392963170754560,2022-08-21 16:41:06+00:00,1,0,0,0,,,leishaleish,643,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.38074925541877747
"Cane Creek Campground #Campground &amp; #RVPark RV Park 10/10 - Snow Camp, North Carolina https://t.co/Wy4UUVoqQk",2022-08-22 19:17:10.032746,1561343899544666112,2022-08-21 13:26:08+00:00,0,0,0,0,,,RVingOutdoors,131,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Positive,0.3782389760017395
Vacaville Museum announces free art camp for children - Fairfield Daily Republic https://t.co/vFdZhQlQYu,2022-08-22 19:17:10.032763,1561338719855972352,2022-08-21 13:05:33+00:00,0,0,0,0,,,MuseumsUpdate,2569,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.3865741491317749
Vacaville Museum announces free art camp for children - Fairfield Daily Republic https://t.co/j2dQskpV1z,2022-08-22 19:17:10.032779,1561331801376694272,2022-08-21 12:38:04+00:00,0,0,0,0,,,ArtFansclub,1870,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.3912478983402252
"@City_Press ""Poverty"" in Hyde Park? 🤔 The North of Jhb Hyde Park?🤔 The one and only Hyde Park with multi-million rand houses Hyde Park? 🤔 
Until they down grade and move to Cosmo City, I'd say they're fooling debt collectors and SARS. https://t.co/caUIEQFKNh",2022-08-22 19:17:10.032797,1561299962591322113,2022-08-21 10:31:33+00:00,1,0,63,0,,,AkhaniSmith,507,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Positive,0.3647046983242035
Congratulations and good luck to Gabe Clemmons and Kameron Sanders on being invite to the Chris Paul @CP3 camp in North Carolina. Represent Fairfield boys! #FairfieldPride #Ballers #Classof2025 https://t.co/jAjOpHGvPT,2022-08-22 19:17:10.032829,1561047643140358147,2022-08-20 17:48:55+00:00,1,1,37,4,,,fcsdhighschool,1866,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.3963019549846649
"Cedar Forest Park is situated on Graham Lake just north of Brockville.
#cedarforestpark #mallorytown #1000islands #ontariocampgrounds #parks #camp #camping #hiking #campfire #resorts #adventure #camplife #vacation #nature #rv #cottagelife #outdoors 
https://t.co/6xDvmoPmJi https://t.co/BvMFaluonj",2022-08-22 19:17:10.032856,1561007169939587074,2022-08-20 15:08:06+00:00,0,0,2,0,,,njf_outdoors,198,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.41752177476882935
"@bruno1cat CAMC are running the temporary camp site on the North car park
https://t.co/50GkJ7MRsk",2022-08-22 19:17:10.032874,1560910989146685440,2022-08-20 08:45:54+00:00,0,0,1,0,,,davidjgbird,1988,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.3754357099533081
@myersparkfball creek owns your poverty school + north charlotte owns south charlotte + the park white boys fell off 😹😹😹 https://t.co/GNaNf9Tkvi,2022-08-22 19:17:10.032907,1560489766688362497,2022-08-19 04:52:07+00:00,0,0,1,0,,,c4nc3ll,96,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Positive,0.3533440828323364
@FrankEd1967 😂 No it’s the little market town I was born in. Oswestry North Shropshire . We didn’t get much in the way of bombing according to my mam. We did have lots of refugees our way  from the big cities. We had a big army Artillery base Park Hall Camp. We also have an Iron Hill Fort.,2022-08-22 19:17:10.032940,1560246640493137921,2022-08-18 12:46:01+00:00,1,0,0,0,,,cosby_laura,2518,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.3429386615753174
"A proposed incinerator on Consett's Hownsgill Industrial Park could bring jobs and alleviate local fuel poverty, a public inquiry has heard https://t.co/x2aDYxgOFU",2022-08-22 19:17:10.032976,1559868771233415170,2022-08-17 11:44:30+00:00,0,1,3,2,,,davidaquinley21,252,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.4125795066356659
"#DirtyDancing has its moments:But, it's far from a good movie.:It does have enough #camp appeal: To see once? 7pm Regal #Natomas, #Sacramento,&amp; Wed. #ElkGrove, Sac, #SouthSacramento,  #ElDoradoHills, #Folsom, #Stockton, #Roseville, #Rocklin, #Fairfield,&amp;.. https://t.co/aq9R7ZASUe https://t.co/FIo0HMA34s 🚨LAST CHANCE🚨to grab your tickets for the 35th anniversary of Dirty Dancing on August 14 &amp; 17! Experience the magic of finding love through the power of dance 💃. ➡️ https://t.co/YIyDHM7mAl https://t.co/TVkZjwsvgT",2022-08-22 19:17:10.121726,1559645924678258688,2022-08-16 20:58:59+00:00,0,0,0,0,,,orakald,2621,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.35109180212020874
@BorisJohnson what are you and your chums going to do about this fuel poverty situation in North Hull/Orchard Park. The highest in the country. You really don’t care about working class people. How do you sleep at night,2022-08-22 19:17:10.121754,1559598959970029569,2022-08-16 17:52:22+00:00,0,0,1,0,,,russcollege,1732,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Positive,0.391628235578537
"The Fairfield County Workforce Center hosted the Totally Tech-Bot robotics camp, creating hands-on opportunities for middle school students to engage with the latest equipment used in modern manufacturing. Read the full story below. 
https://t.co/2DgXIB2lte",2022-08-22 19:17:10.121761,1559573987834855425,2022-08-16 16:13:08+00:00,0,0,0,0,,,VictorAllison,827,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.4142800569534302
San Francisco man dies in North Bay's China Camp State Park #mountainbiking #moab #Ibis #mountain bike https://t.co/OpqayFxgRp,2022-08-22 19:17:10.121766,1559566874878386177,2022-08-16 15:44:52+00:00,0,0,1,0,,,deadinHalifax,2604,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Positive,0.35848456621170044
"Maria Magdelene (Flohr) John was the widow of William Johns, who operated a foundry at the corner of North Park &amp; Cornwallis St. @Cove17 has noticed Johns' work all over town, including the cast iron gravestone in my profile picture. Camp Hill 
https://t.co/QECpqs5oCf https://t.co/Srfnmq0Mt1",2022-08-22 19:17:10.121772,1559495193220358144,2022-08-16 11:00:02+00:00,1,1,20,1,,,duttydoes,1050,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.3681079149246216
@EricNews8 @Padres @PetcoPark Great pic of the family!! Back from vacay in Mexico and it's scary down there now with the cartel violence. Thankfully I avoided it but will stay in my safe North Park territory for awhile...(#WillBeUpWith8@6am!!)😳😳😳 https://t.co/txfn6UxzfJ,2022-08-22 19:17:12.600434,1561692432466513920,2022-08-22 12:31:05+00:00,0,0,1,0,,,marcanthonyis69,49,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR red cedar café OR the backpack project OR township of esquimalt OR victoria placemaking OR emergency housing OR peer housing support program OR temporary housing OR camper OR evict OR shelter OR violence) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Negative,0.35167649388313293
"yeah. gang violence. . . pretty common in north park because there's two main gangs. tucker's gang and broflovski's gang. and of course the gang of girls, but they keep to themselves.( tolkien didn't know how the other would react if he knew tucker was a gang leader ) https://t.co/arrIYRewlJ (Tolkien listened quietly, nodding as he did so.) That’s true. So.. Is that all that happens over there? Gang violence ‘n stuff?(He’d ask, That’s all he ever heard about North Park.) https://t.co/2uzyTuagk5",2022-08-22 19:17:12.687014,1561129287947849728,2022-08-20 23:13:21+00:00,0,1,1,0,,,PURGINGRECKLESS,380,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR red cedar café OR the backpack project OR township of esquimalt OR victoria placemaking OR emergency housing OR peer housing support program OR temporary housing OR camper OR evict OR shelter OR violence) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Positive,0.36640116572380066
"(Tolkien listened quietly, nodding as he did so.) That’s true. So.. Is that all that happens over there? Gang violence ‘n stuff?(He’d ask, That’s all he ever heard about North Park.) https://t.co/2uzyTuagk5 all we do is purge here so i can't judge your town. it's okay there. not the second most dangerous town in america.( tolkien was telling the truth. the town was dangerous and he knew how awful they all were ) https://t.co/T1PBkGyLb1",2022-08-22 19:17:12.782881,1561101276938924032,2022-08-20 21:22:02+00:00,0,1,0,0,,,SmokinToken_,168,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR red cedar café OR the backpack project OR township of esquimalt OR victoria placemaking OR emergency housing OR peer housing support program OR temporary housing OR camper OR evict OR shelter OR violence) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.3580668568611145
Fairfield has gotten so wicked. I don’t know what it is but it’s so much fun violence going on.,2022-08-22 19:17:12.782909,1561070387064193026,2022-08-20 19:19:18+00:00,1,0,0,0,,,TishasaurusTV,7020,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR red cedar café OR the backpack project OR township of esquimalt OR victoria placemaking OR emergency housing OR peer housing support program OR temporary housing OR camper OR evict OR shelter OR violence) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Positive,0.37555474042892456
@Ericthe08378950 @chrislovepr Parts of the city are beautiful but if you can honestly say north st cathedral gardens great victoria street are relatively clean then I would say look again. I took my kids into the city centre earlier walking past cathedral Gdns but hadn’t realised the park has been destroyed https://t.co/OQsToLJGBe,2022-08-22 19:17:12.782920,1560757188238491656,2022-08-19 22:34:45+00:00,0,0,0,0,,,Irish182,13,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR red cedar café OR the backpack project OR township of esquimalt OR victoria placemaking OR emergency housing OR peer housing support program OR temporary housing OR camper OR evict OR shelter OR violence) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.34219327569007874
"Shootings in Highland Park &amp; Gurnee (30mi North of Chicago) caused a firestorm of people trying to pin gun violence on Chicago, but Alexander Podgorny drove from a suburb 30mi out TO the south side of Chicago with 5 guns and 1000+ rounds and...crickets. https://t.co/M1CpRuGUsg https://t.co/EeD29yaHJ2 Should be MUCH bigger news: A white suburban man drove to Englewood, which is predominantly Black, shot at a park early Thurs a.m., was arrested w 5 guns (including an AR-15), 1,000+ rounds &amp;handwritten notes that ""contained incoherent rants &amp; references to mass shooting events.” https://t.co/MzG4HtaSNM",2022-08-22 19:17:12.881001,1560753735130923009,2022-08-19 22:21:02+00:00,1,1,0,0,,,Div2Divinity,21,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR red cedar café OR the backpack project OR township of esquimalt OR victoria placemaking OR emergency housing OR peer housing support program OR temporary housing OR camper OR evict OR shelter OR violence) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Positive,0.3950229287147522
"We are excited to celebrate a bus shelter, park, water feature, and greenway now available for #Salemtown neighbors at Third Avenue North and Coffee Street thanks to @NashvilleMWS, @MetroParksNash, @freddieoconnell, and @JohnCooper4Nash #RollWithWeGo #DiscoverWater #nashville https://t.co/84uZivxanC",2022-08-22 19:17:12.881054,1560676817916243969,2022-08-19 17:15:24+00:00,2,1,10,2,,,WeGoTransit,5453,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR red cedar café OR the backpack project OR township of esquimalt OR victoria placemaking OR emergency housing OR peer housing support program OR temporary housing OR camper OR evict OR shelter OR violence) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.39010941982269287
"Jackass Creek flows generally west for 2.5 miles (4 km) to the Pacific Ocean, about 18 miles (30 km) north-northwest of Westport and 14 miles (22.5 km) southeast of Shelter Cove, California. Read more here: https://t.co/veaTIQJDdL https://t.co/5ML9X7LJdN",2022-08-22 19:17:12.881067,1560616386765803523,2022-08-19 13:15:16+00:00,0,0,0,0,,,CoastView10,7,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR red cedar café OR the backpack project OR township of esquimalt OR victoria placemaking OR emergency housing OR peer housing support program OR temporary housing OR camper OR evict OR shelter OR violence) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.3810417056083679
"@WhyteleafeEagle As it currently is

1st pic - South and west sides
South side - dressing rooms, kitchens, clubhouse, Main Stand, away shelter. 
West side, flat standing

2nd pic, East (Park) end - 'The Bank' covered home terrace, and family stand  

3rd pic, North side, flat standing and dugouts https://t.co/OvCyrdBz3u",2022-08-22 19:17:12.881082,1560541467021639680,2022-08-19 08:17:33+00:00,1,0,1,1,,,jane36london,384,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR red cedar café OR the backpack project OR township of esquimalt OR victoria placemaking OR emergency housing OR peer housing support program OR temporary housing OR camper OR evict OR shelter OR violence) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Positive,0.36725643277168274
