,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood,sentiment,score,score_matches,relevant,File #,From,Notes
105,"@mbrownFX @BigCountryFooty I know that Langford and Starlight Stadium was part of the discussions during the initial host city bidding as a base camp for one or two teams. Even when Vancouver originally dropped off the list of host cities, Canada Soccer was always looking at Langford as a base camp.",32:09.8,1.54E+18,2022-06-17 19:52:40+00:00,1,0,2,0,,,,,theage,941705,(langford OR victoria OR fairfield-gonzales OR saanichton OR irving park OR vic west park OR songhees OR t'sou-ke) (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,langford OR victoria OR fairfield-gonzales OR saanichton OR irving park OR vic west park OR songhees OR t'sou-ke,Neutral,0.927122891,Yes,Yes,0,Josh,
213,Spent this past week camping and rafting in the Rio Grande Gorge with my 13-year-old boy. https://t.co/BTcAk7fXFT,32:35.1,1.54E+18,2022-06-19 19:51:32+00:00,1,0,10,0,,,,,EmilKiehne,1802,"(sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsÃ¡neÄ‡) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsÃ¡neÄ‡,Positive,0.523073375,Yes,No,0,Josh,
112,"@Burgundavia @BasilLangevin Would I prefer to see more towers - and mixed use - in downtown langford than there? yes. But I put housing of any kind first over trees within Langford. If the comparitive was Metchosin or Otter Point, or Highlands I'd have a different prioritization.",32:15.0,1.54E+18,2022-06-20 19:23:55+00:00,0,0,0,0,,,,,NDickinsonWilde,1200,(metchosin OR fernwood OR gonzales OR songhees OR oaklands park OR galloping goose OR esquimalt OR pacheedaht) (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,metchosin OR fernwood OR gonzales OR songhees OR oaklands park OR galloping goose OR esquimalt OR pacheedaht,Neutral,0.754832447,Yes,Yes,0,Josh,
517,"Much like the rest of the #yyj core, infill in @DistrictOakBay is wildly popular. The vast majority of people want it everywhere, that means you too Uplands! Oak Bay is the most in need of housing supply and infill housing is a great start! https://t.co/HFPLo1YTev",33:33.3,1.54E+18,2022-06-16 16:19:39+00:00,0,0,3,0,,,,,VictoriaNews,22049,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat,Positive,0.954752266,Yes,Yes,0,Josh,
286,"@Vic_Kefa @_petermwaura @catherine_amayi My point was if we are going to compare inflation, why don't we compare other things like poverty rates, etc. It's only when we are trying to justify high cost of living that we start comparing ourselves to the west. It's interesting that the comparison always stops there.",32:39.0,1.54E+18,2022-06-19 11:54:27+00:00,1,0,0,0,,,,,githinji_danw,2,(view royal OR harris green OR hillside-quadra OR vic west OR stadacona park OR lochside OR tsartlip) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,view royal OR harris green OR hillside-quadra OR vic west OR stadacona park OR lochside OR tsartlip,Neutral,0.683743536,Yes,No,0,Josh,
479,@RaynaRambling This intersection may have moved up to top 10 worst intersections (IMO). Poor choices for sidewalk and bike lane crossings at lights. Hope @saanich can make improvements before gets seriously hurt.,33:31.7,1.54E+18,2022-06-16 18:33:03+00:00,1,0,1,0,,,,,stevetyson22,26,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat,Negative,0.935682297,Yes,No,0,Josh,
464,"Arunachal Bhawan saltlake Kolkata,opposite cbi office near to central park metro. Very much affordable rooms for Arunachalese. Good hospitality and has a good collection of traditional tribals handicrafts in the sales counter. https://t.co/imUopogxkD",33:30.3,1.54E+18,2022-06-16 12:00:35+00:00,2,0,27,2,,,,,humanisttashi,169,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat,Positive,0.83751142,Yes,no,0,Josh,
155,"@PaulWil00573947 @VusiSambo @RhaduuXesibe What a load of bullsh*t!Who destroyed Eskom/SAA/Prasa/Trasnet/Denel etc?Are white people at fault for the crime,water crisis,electricity crisis &amp; road crisis?Fact is:the ANC/EFF cabal donot care for black people-they only want to gorge at the trough cannibalising black people!",32:28.5,1.54E+18,2022-06-17 11:04:04+00:00,2,0,0,0,,,,,kwright49,38,(sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsÃ¡neÄ‡) (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsÃ¡neÄ‡,Negative,0.878587246,Yes,No,0,Josh,
605,"RT ACcougarsports ""ðŸ’¥ðŸ’¥Attention ðŸ’¥ðŸ’¥Softball camp will meet at Central Park, please bring tennis shoes. We will move  move camp to ACHS gyms if needed.""",33:41.9,1.54E+18,2022-06-14 12:03:01+00:00,0,0,0,0,,,,,AlexCentralHS,2796,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat,Neutral,0.845642865,Yes,No,0,Josh,
1361,"Despite being wrong about the housing market for years, BC govt persists in being wrong &amp; collecting more tax by expanding the unfair Speculation Tax to include units where stratas don't permit rentals. Govt greed= rising prices. Read https://t.co/5HfN9vy74L #saanich #yyj #bcpoli https://t.co/lucv5x8vRO",35:19.8,1.54E+18,2022-06-16 20:09:17+00:00,0,0,0,0,,,,,GregorCraigie,13405,YYJ (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,YYJ,Negative,0.82544297,Yes,Yes,0,Josh,
826,The latest The Victoria Real Estate Daily! https://t.co/7BtsYlweHG #housing #realestate,34:23.7,1.54E+18,2022-06-19 22:10:57+00:00,0,0,1,0,,,,,PillaKatinya69,71,Victoria (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,Victoria,Neutral,0.867337823,Yes,Yes,0,Josh,
903,"@sls108 @SaraCivian I live in Victoria, BC and there are people threatening violence to the LGBQ community. Hate seems to be on the rise everywhere.",34:25.3,1.54E+18,2022-06-18 16:04:09+00:00,2,0,1,0,,,,,Entranyengmedia,684,"Victoria (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",Victoria,Negative,0.928431332,Yes,Yes,0,Josh,
240,@johnsummit Gorge afters in the parking or at ga camping,32:35.1,1.54E+18,2022-06-14 08:27:53+00:00,1,0,22,1,,,,,Stempapi,2603,"(sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsÃ¡neÄ‡) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsÃ¡neÄ‡,Neutral,0.749147832,Yes,No,0,Josh,
219,gold camping at the gorge forever from now on,32:35.1,1.54E+18,2022-06-18 00:01:42+00:00,0,0,2,0,,,,,madsslovee,2565,"(sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsÃ¡neÄ‡) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsÃ¡neÄ‡,Positive,0.558046043,Yes,no,0,Josh,
997,"'Amat Victoria Curam' - Victory favours the prepared!

Get TRAINED, get ARMED and be READY 

https://t.co/Yh7YDws1CQ",34:28.6,1.54E+18,2022-06-20 18:52:00+00:00,0,0,1,1,,,,,FirearmsZA,5707,Victoria (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,Victoria,Positive,0.866835654,Yes,No,1,Sheila,
1467,"The federal budget locked in mass homelessness in Canada, so I suspect we will see more of this across the country. 
https://t.co/YK7lLBrBVo",39:48.1,1.54E+18,2022-06-17 14:50:52+00:00,1,1,3,0,,,,,NicoleChaland,1207,(from:charlesbodi OR from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic) (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,individual,Negative,0.816738546,Yes,Yes,1,Sheila,Labelled as unknown
679,@DevinDignam @CTVNewsVI That would literally cripple Victoriaâ€™s economy. I get wanting to be more environmentally friendly but I have family and friends that work in tourism industry and rely on cruise ships for a living. Getting rid of them would just cause even more poverty.,34:20.6,1.54E+18,2022-06-17 22:17:15+00:00,1,0,0,0,,,,,TraversMcLeod,2407,Victoria (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,Victoria,Negative,0.839649975,Yes,Yes,1,Sheila,"Changed to yes, poverty in Vic"
938,"A suspected thief is fighting for life after an alleged break-in at a fish and chip shop in Geelong in Victoria's west. #9News
https://t.co/xw6fipbuKv",34:26.8,1.54E+18,2022-06-20 17:00:01+00:00,1,0,0,0,,,,,9NewsMelb,219896,Victoria (aryze developments OR district of saanich OR literacy victoria OR restorative justice victoria OR the downtown victoria business association OR township of esquimalt OR victoria placemaking OR emergency housing OR reaching home OR front line worker OR front line OR thief OR homeless OR addicted OR povertypimps) lang:en -is:retweet,Victoria,Negative,0.655767024,Yes,No,1,Sheila,
20,Now Playing: Poor Sidney by The Decibels Listen at https://t.co/SPIWRLWkg0 https://t.co/VbXzQrRgCD,31:44.6,1.54E+18,2022-06-14 09:20:19+00:00,0,0,0,0,,,,,DShark072299,276,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.861871183,Yes,No,1,Sheila,
1236,"@LeGrandeWee @Martin_Sanna 
Covid Rules Victoria
Remember when you couldn't eat inside but you eat inside outside in a tent .
Because of the science https://t.co/oNMyULdyBH",34:33.3,1.54E+18,2022-06-19 03:48:05+00:00,0,0,0,0,,,,,cakeseeks,546,Victoria (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,Victoria,Neutral,0.814129233,No,No,1,Sheila,
513,"@kylepond @MuvcriticScott @MayoIsSpicyy What he said about the central park five, Muslims, Mexicans, hanging with Mob in the 80's, him along with is father violating the 1968 fair housing act, walking in on models in various states of undress",33:33.3,1.54E+18,2022-06-16 21:58:56+00:00,0,0,0,0,,,,,jake_zuckerman,10028,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat,Neutral,0.526440799,Yes,No,1,Sheila,
818,"@BfmDevOuR @dodgierogie68 @PRGuy17 Rebel news shows what the mainstream media won't show you - such as police officers slamming people, pregnant women being arrested at their own home, and Victoria police misusing their power. Avi is exposing the fascists like #dictatordan
#dontcryprguy",34:23.7,1.54E+18,2022-06-20 07:05:09+00:00,3,0,4,0,,,,,GumtreeKoalas,904,Victoria (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,Victoria,Negative,0.6313591,Yes,Yes,1,Sheila,AVI + Victoria + police topics
874,Victoria police report â€˜significant declineâ€™ in calls for youth-related violence â€“ SaanichÂ News https://t.co/ozaG5d17Pd,34:25.3,1.54E+18,2022-06-20 16:55:12+00:00,0,0,0,0,,,,,JaunNews,498,"Victoria (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",Victoria,Neutral,0.58809638,Yes,Yes,1,Sheila,Victoria + police / youth
1015,"Getting your house in order â€“ are you mortgage ready? - Our Office Manager Victoria Pitts is talking about the importance of getting â€˜mortgage readyâ€™ ðŸ‘‰ https://t.co/y8dVRqg7IY

#mortgages #mortgageadvice #financialadvice #financialplan https://t.co/QWxyJud2ZU",34:28.6,1.54E+18,2022-06-20 07:45:02+00:00,0,0,0,0,,,,,tudorfcltd,4687,Victoria (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,Victoria,Positive,0.631677806,Yes,No,1,Sheila,
523,"@scottymax Columbus OH has had a similar trajectory downtown, urban renewal cleared out a lot of blocks, the ""City Center"" Mall, now flourishing with lots of new housing &amp; a central lawn-style park with lots of events.
But also, obviously, Don't Go Back to Rockville",33:33.3,1.54E+18,2022-06-16 04:46:23+00:00,1,0,2,0,,,,,urbanetics_,2950,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat,Positive,0.733233452,Yes,No,1,Sheila,
58,"@TOOEdit Nobody believed it was stolen. Evidence shows they believed it wasn't. Even Sidney ""Kraken"" Powell said in a court pleading that no reasonable person would believe what she was saying. Plus the Republicans had their chance to be part of this committee and they declined.",31:51.4,1.54E+18,2022-06-14 20:51:10+00:00,0,0,1,0,,,,,Christine_Sage,89,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (beacon community services OR fernwood community association OR mental health society of greater victoria OR safer victoria OR the existence project OR united way southern vancouver island OR victoria real estate board OR subsidized housing OR pit count OR front line OR front line worker OR stolen OR camper OR evicted OR collusion) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Negative,0.805889904,Yes,No,1,Sheila,
703,"@JalangoMwenyewe 
Get a very delicious Original Deep Fried Fish at affordable prices. 
Visit Victoria Fish at Highrise or make order for home delivery.

Kind regards",34:20.6,1.54E+18,2022-06-16 11:29:31+00:00,0,0,0,0,,,,,DRCVictoria,375,Victoria (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,Victoria,Positive,0.811628699,Yes,No,1,Sheila,
854,"@jordanbpeterson The politicians here in Victoria have no problems producing thousands of plastic signs at election time and to promote themselves. Single use and then binned. 

But a straw, in the hands of a citizen is a crime. 

Our state premier is evil. 
#sackdanandrews",34:23.7,1.54E+18,2022-06-18 15:01:44+00:00,0,0,0,0,,,,,midge_thomas,1707,Victoria (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,Victoria,Negative,0.844748378,Yes,No,1,Sheila,
857,June is #NationalCrimeReadingMonth. As a proud member of @CrimeCymru and @The_CWA Iâ€™m only reading crime fiction. Having just finished The Beach House by @bevjoneswriting (which kept me guessing) Iâ€™ve started A Book of Murder by @victoria_dowd and enjoying the dark humour.,34:23.7,1.54E+18,2022-06-18 11:54:48+00:00,2,0,15,3,,,,,MPSPettsWood,1736,Victoria (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,Victoria,Positive,0.838957369,Yes,No,1,Sheila,
1153,"In the past 2 1/2yrs I have known suicides,heartbreaking disengagement from teachers &amp; healthcare workers who gave everything they could.
Homeless because their parents cared &amp; have now been turned into the unclean..
Absolute bastardry.
#FukcYourStraws

 https://t.co/g43PdUUsHq",34:31.7,1.54E+18,2022-06-19 11:26:16+00:00,0,0,2,0,,,,,DroitAdvertiser,1474,"Victoria (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",Victoria,Negative,0.906137705,Yes,Yes,1,Sheila,
843,"@MarkPlackett1 @perkinsmiki @theage @EPA_Victoria The conclusion to the study you quoted is revealing:

Exposure to damp housing and gas stoves is common in Australia, &amp; is associated with a considerable proportion of the childhood asthma burden.",34:23.7,1.54E+18,2022-06-19 00:46:22+00:00,2,0,7,3,,,,,HomelessnessNSW,5231,Victoria (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,Victoria,Neutral,0.50707978,No,No,1,Sheila,
